"Team","Team Code"
"Royal Challengers Bengaluru","RCB"
"Royal Challengers Bangalore","RCB"
"Punjab Kings","PBKS"
"Kings XI Punjab","PBKS"
"Mumbai Indians","MI"
"Gujarat Titans","GT"
"Lucknow Super Giants","LSG"
"Sunrisers Hyderabad","SRH"
"Kolkata Knight Riders","KKR"
"Chennai Super Kings","CSK"
"Delhi Capitals","DC"
"Delhi Daredevils","DC"
"Rajasthan Royals","RR"
"Rising Pune Supergiant","RPS"
"Rising Pune Supergiants","RPD"
"Gujarat Lions","GL"
"Pune Warriors","PW"
"Deccan Chargers","DCH"
"Kochi Tuskers Kerala","KTK"
