"date","match_id","team_1","team_2","team_1_code","team_2_code"
"2025-06-03","1473511","Royal Challengers Bengaluru","Punjab Kings","RCB","PBKS"
"2025-06-01","1473510","Mumbai Indians","Punjab Kings","MI","PBKS"
"2025-05-30","1473509","Mumbai Indians","Gujarat Titans","MI","GT"
"2025-05-29","1473508","Punjab Kings","Royal Challengers Bengaluru","PBKS","RCB"
"2025-05-27","1473507","Lucknow Super Giants","Royal Challengers Bengaluru","LSG","RCB"
"2025-05-26","1473506","Mumbai Indians","Punjab Kings","MI","PBKS"
"2025-05-25","1473505","Sunrisers Hyderabad","Kolkata Knight Riders","SRH","KKR"
"2025-05-25","1473504","Chennai Super Kings","Gujarat Titans","CSK","GT"
"2025-05-24","1485779","Punjab Kings","Delhi Capitals","PBKS","DC"
"2025-05-23","1473503","Sunrisers Hyderabad","Royal Challengers Bengaluru","SRH","RCB"
"2025-05-22","1473502","Lucknow Super Giants","Gujarat Titans","LSG","GT"
"2025-05-21","1473501","Mumbai Indians","Delhi Capitals","MI","DC"
"2025-05-20","1473500","Chennai Super Kings","Rajasthan Royals","CSK","RR"
"2025-05-19","1473499","Lucknow Super Giants","Sunrisers Hyderabad","LSG","SRH"
"2025-05-18","1473498","Delhi Capitals","Gujarat Titans","DC","GT"
"2025-05-18","1473497","Punjab Kings","Rajasthan Royals","PBKS","RR"
"2025-05-08","1473495","Punjab Kings","Delhi Capitals","PBKS","DC"
"2025-05-07","1473494","Kolkata Knight Riders","Chennai Super Kings","KKR","CSK"
"2025-05-06","1473493","Mumbai Indians","Gujarat Titans","MI","GT"
"2025-05-05","1473492","Delhi Capitals","Sunrisers Hyderabad","DC","SRH"
"2025-05-04","1473491","Punjab Kings","Lucknow Super Giants","PBKS","LSG"
"2025-05-04","1473490","Kolkata Knight Riders","Rajasthan Royals","KKR","RR"
"2025-05-03","1473489","Royal Challengers Bengaluru","Chennai Super Kings","RCB","CSK"
"2025-05-02","1473488","Gujarat Titans","Sunrisers Hyderabad","GT","SRH"
"2025-05-01","1473487","Mumbai Indians","Rajasthan Royals","MI","RR"
"2025-04-30","1473486","Chennai Super Kings","Punjab Kings","CSK","PBKS"
"2025-04-29","1473485","Kolkata Knight Riders","Delhi Capitals","KKR","DC"
"2025-04-28","1473484","Gujarat Titans","Rajasthan Royals","GT","RR"
"2025-04-27","1473483","Delhi Capitals","Royal Challengers Bengaluru","DC","RCB"
"2025-04-27","1473482","Mumbai Indians","Lucknow Super Giants","MI","LSG"
"2025-04-26","1473481","Punjab Kings","Kolkata Knight Riders","PBKS","KKR"
"2025-04-25","1473480","Chennai Super Kings","Sunrisers Hyderabad","CSK","SRH"
"2025-04-24","1473479","Royal Challengers Bengaluru","Rajasthan Royals","RCB","RR"
"2025-04-23","1473478","Sunrisers Hyderabad","Mumbai Indians","SRH","MI"
"2025-04-22","1473477","Lucknow Super Giants","Delhi Capitals","LSG","DC"
"2025-04-21","1473476","Gujarat Titans","Kolkata Knight Riders","GT","KKR"
"2025-04-20","1473475","Chennai Super Kings","Mumbai Indians","CSK","MI"
"2025-04-20","1473474","Punjab Kings","Royal Challengers Bengaluru","PBKS","RCB"
"2025-04-19","1473473","Lucknow Super Giants","Rajasthan Royals","LSG","RR"
"2025-04-19","1473472","Delhi Capitals","Gujarat Titans","DC","GT"
"2025-04-18","1473471","Royal Challengers Bengaluru","Punjab Kings","RCB","PBKS"
"2025-04-17","1473470","Sunrisers Hyderabad","Mumbai Indians","SRH","MI"
"2025-04-16","1473469","Delhi Capitals","Rajasthan Royals","DC","RR"
