Match ID,Team One,Team Two,Winner,Win Type,Margin,Loser,Player of Match
1473511,RCB,PBKS,RCB,runs,6,PBKS,KH Pandya
1473510,MI,PBKS,PBKS,wickets,5,MI,SS Iyer
1473509,MI,GT,MI,runs,20,GT,RG Sharma
1473508,PBKS,RCB,RCB,wickets,8,PBKS,Suyash Sharma
1473507,LSG,RCB,RCB,wickets,6,LSG,JM Sharma
1473506,MI,PBKS,PBKS,wickets,7,MI,JP Inglis
1473505,SRH,KKR,SRH,runs,110,KKR,H Klaasen
1473504,CSK,GT,CSK,runs,83,GT,D Brevis
1485779,PBKS,DC,DC,wickets,6,PBKS,Sameer Rizvi
1473503,SRH,RCB,SRH,runs,42,RCB,Ishan Kishan
1473502,LSG,GT,LSG,runs,33,GT,MR Marsh
1473501,MI,DC,MI,runs,59,DC,SA Yadav
1473500,CSK,RR,RR,wickets,6,CSK,Akash Madhwal
1473499,LSG,SRH,SRH,wickets,6,LSG,Abhishek Sharma
1473498,DC,GT,GT,wickets,10,DC,B Sai Sudharsan
1473497,PBKS,RR,PBKS,runs,10,RR,Harpreet Brar
1473495,PBKS,DC,,N/A,N/A,,N/A
1473494,KKR,CSK,CSK,wickets,2,KKR,Noor Ahmad
1473493,MI,GT,GT,wickets,3,MI,Shubman Gill
1473492,DC,SRH,,N/A,N/A,,N/A
1473491,PBKS,LSG,PBKS,runs,37,LSG,P Simran Singh
1473490,KKR,RR,KKR,runs,1,RR,AD Russell
1473489,RCB,CSK,RCB,runs,2,CSK,R Shepherd
1473488,GT,SRH,GT,runs,38,SRH,M Prasidh Krishna
1473487,MI,RR,MI,runs,100,RR,RD Rickelton
1473486,CSK,PBKS,PBKS,wickets,4,CSK,SS Iyer
1473485,KKR,DC,KKR,runs,14,DC,SP Narine
1473484,GT,RR,RR,wickets,8,GT,V Suryavanshi
1473483,DC,RCB,RCB,wickets,6,DC,KH Pandya
1473482,MI,LSG,MI,runs,54,LSG,WG Jacks
1473481,PBKS,KKR,,N/A,N/A,,N/A
1473480,CSK,SRH,SRH,wickets,5,CSK,HV Patel
1473479,RCB,RR,RCB,runs,11,RR,JR Hazlewood
1473478,SRH,MI,MI,wickets,7,SRH,TA Boult
1473477,LSG,DC,DC,wickets,8,LSG,Mukesh Kumar
1473476,GT,KKR,GT,runs,39,KKR,Shubman Gill
1473475,CSK,MI,MI,wickets,9,CSK,RG Sharma
1473474,PBKS,RCB,RCB,wickets,7,PBKS,V Kohli
1473473,LSG,RR,LSG,runs,2,RR,Avesh Khan
1473472,DC,GT,GT,wickets,7,DC,JC Buttler
1473471,RCB,PBKS,PBKS,wickets,5,RCB,TH David
1473470,SRH,MI,MI,wickets,4,SRH,WG Jacks
1473469,DC,RR,,N/A,N/A,,N/A
1473468,PBKS,KKR,PBKS,runs,16,KKR,YS Chahal
1473467,LSG,CSK,CSK,wickets,5,LSG,MS Dhoni
